name,hg_19,cb,both
PANK3,False,True,False
PGBD4,False,True,False
ATP6V1E1,False,True,False
SEMA3F,False,True,False
RNA5SP166,False,True,False
MTIF2,False,True,False
GPR158,False,True,False
RN7SKP14,False,True,False
OR51B6,False,True,False
ACTL6A,False,True,False
PAXBP1-AS1,False,True,False
H1-5,False,True,False
NFAT5,False,True,False
MAPKBP1,False,True,False
WASIR1,False,True,False
PHACTR1,False,True,False
TMEM184A,False,True,False
IFNA6,False,True,False
GPC1,False,True,False
TNFRSF12A,False,True,False
HOXA4,False,True,False
HTT,False,True,False
SLC25A29,False,True,False
TPI1,False,True,False
PSMD5,False,True,False
ARL1,False,True,False
MIR4488,False,True,False
RN7SL294P,False,True,False
ELF2,False,True,False
SNORD113-1,False,True,False
SRRT,False,True,False
MIR30D,False,True,False
SNORD18A,False,True,False
NRDC,False,True,False
ELP4,False,True,False
CCDC152,False,True,False
CENPBD1P,False,True,False
KLHDC2,False,True,False
MIR1908,False,True,False
NR4A1,False,True,False
ANGPTL7,False,True,False
TMEM191A,False,True,False
VAMP1,False,True,False
MARS2,False,True,False
CDH1,False,True,False
LINC00343,False,True,False
ENDOV,False,True,False
DNAJC4,False,True,False
NSDHL,False,True,False
KRT13,False,True,False
EIF3G,False,True,False
SLC2A7,False,True,False
PTOV1-AS1,False,True,False
STK35,False,True,False
HTRA2,False,True,False
NPHP3-AS1,False,True,False
OR2AK2,False,True,False
ZDHHC2,False,True,False
GIGYF1,False,True,False
TCTN1,False,True,False
GCOM1,False,True,False
NEDD4,False,True,False
BFSP1,False,True,False
IKZF1,False,True,False
RN7SL745P,False,True,False
DSTN,False,True,False
MIR1276,False,True,False
RNA5SP480,False,True,False
H2AC12,False,True,False
MIR4668,False,True,False
VCPIP1,False,True,False
PER2,False,True,False
NT5C3B,False,True,False
LAMTOR3,False,True,False
MCM5,False,True,False
PMF1-BGLAP,False,True,False
FBXW9,False,True,False
TNFRSF18,False,True,False
SDK2,False,True,False
FDXR,False,True,False
ABRAXAS1,False,True,False
CLDN7,False,True,False
PTGES3L-AARSD1,False,True,False
MIR200B,False,True,False
ARMC1,False,True,False
SLC38A9,False,True,False
SLC9A1,False,True,False
LRRC47,False,True,False
GRM1,False,True,False
OTUD4,False,True,False
TRIM16L,False,True,False
ZSCAN26,False,True,False
TWF2,False,True,False
ITM2B,False,True,False
FAM111A,False,True,False
ZDHHC7,False,True,False
SRRM1,False,True,False
GGTLC3,False,True,False
HHEX,False,True,False
KCNG1,False,True,False
MIR4727,False,True,False
MRPL15,False,True,False
CISH,False,True,False
LGALS1,False,True,False
HSD17B11,False,True,False
LIPI,False,True,False
LINC02910,False,True,False
RN7SL326P,False,True,False
RN7SL809P,False,True,False
RN7SL649P,False,True,False
SNORD115-48,False,True,False
LRRC32,False,True,False
LINC02876,False,True,False
KCNJ8,False,True,False
NUP62,False,True,False
ADI1,False,True,False
PRKCQ-AS1,False,True,False
SNORA2C,False,True,False
ZNF446,False,True,False
EGOT,False,True,False
NDFIP1,False,True,False
RNF26,False,True,False
STEAP4,False,True,False
ATP5PBP7,False,True,False
IWS1,False,True,False
PIK3AP1,False,True,False
OBSL1,False,True,False
C5orf52,False,True,False
BAP1,False,True,False
EMSY,False,True,False
REXO4,False,True,False
PADI4,False,True,False
PURG,False,True,False
MIR891B,False,True,False
HAP1,False,True,False
SNORD114-21,False,True,False
OR2C3,False,True,False
UGT2B28,False,True,False
F2,False,True,False
LINC00550,False,True,False
SLC29A1,False,True,False
NTAN1,False,True,False
RNU7-53P,False,True,False
CELA2A,False,True,False
C2orf15,False,True,False
CATSPERZ,False,True,False
MIR543,False,True,False
MIGA1,False,True,False
RNU7-14P,False,True,False
PIK3C2B,False,True,False
YBEY,False,True,False
MIR3179-1,False,True,False
ARSK,False,True,False
EIF2AK4,False,True,False
ANGPT4,False,True,False
RNF185,False,True,False
XYLT1,False,True,False
ANP32B,False,True,False
EMP1,False,True,False
SEPTIN9,False,True,False
HNRNPA0,False,True,False
MIR559,False,True,False
SNORD49A,False,True,False
HCLS1,False,True,False
MEFV,False,True,False
RN7SL177P,False,True,False
MAT1A,False,True,False
VPS28,False,True,False
COX8A,False,True,False
OR10A4,False,True,False
EHMT2-AS1,False,True,False
RNU7-107P,False,True,False
CDK11B,False,True,False
SNORD116-13,False,True,False
MEGF6,False,True,False
DCTN3,False,True,False
NTM,False,True,False
CDKN2D,False,True,False
ZNF706,False,True,False
RN7SL472P,False,True,False
VARS1,False,True,False
ATP9A,False,True,False
MSH3,False,True,False
CPSF4L,False,True,False
MIR128-2,False,True,False
H2AZ1,False,True,False
SAA2-SAA4,False,True,False
CCDC177,False,True,False
RNA5SP188,False,True,False
SH2B1,False,True,False
MBD6,False,True,False
LEAP2,False,True,False
MAGI2-AS2,False,True,False
GAMT,False,True,False
C11orf91,False,True,False
PJA2,False,True,False
OBP2B,False,True,False
ZNF764,False,True,False
MIR3945,False,True,False
COPZ1,False,True,False
OR52B2,False,True,False
GTF3C2,False,True,False
MIR4324,False,True,False
JUP,False,True,False
NME1,False,True,False
SDCCAG8,False,True,False
PDE8B,False,True,False
SMIM27,False,True,False
PRY,False,True,False
KRT10,False,True,False
EEF1A1,False,True,False
OR4C12,False,True,False
HDHD5,False,True,False
AP1S2,False,True,False
VKORC1,False,True,False
FAM182B,False,True,False
PLAAT1,False,True,False
TNMD,False,True,False
SPTLC1,False,True,False
KRT6B,False,True,False
NUP42,False,True,False
AIRE,False,True,False
HOGA1,False,True,False
POTEF,False,True,False
WDSUB1,False,True,False
RNA5SP89,False,True,False
MAP2,False,True,False
NSA2,False,True,False
HTR2A-AS1,False,True,False
PIP5K1A,False,True,False
ASB11,False,True,False
BCL2L10,False,True,False
PLEKHH3,False,True,False
AGBL3,False,True,False
LINC00326,False,True,False
IL6,False,True,False
MIR572,False,True,False
FIGLA,False,True,False
RNU5D-1,False,True,False
WSCD1,False,True,False
LINC00381,False,True,False
MIR381,False,True,False
UBXN11,False,True,False
ACTA2,False,True,False
IDS,False,True,False
MIR3926-2,False,True,False
VAT1L,False,True,False
PREX2,False,True,False
ZYX,False,True,False
PGM2,False,True,False
OSTN,False,True,False
FLOT1,False,True,False
SLC26A7,False,True,False
CLPTM1,False,True,False
FAM76B,False,True,False
MS4A2,False,True,False
H3C14,False,True,False
PAPSS2,False,True,False
GPR33,False,True,False
MZB1,False,True,False
GRAMD2A,False,True,False
BNIP5,False,True,False
PDS5B,False,True,False
NIBAN2,False,True,False
USP17L18,False,True,False
APLNR,False,True,False
BTN3A1,False,True,False
CCDC24,False,True,False
RN7SL1,False,True,False
TLCD3A,False,True,False
ANKRD17,False,True,False
SPATA7,False,True,False
DMD,False,True,False
PRLR,False,True,False
BOLA2B,False,True,False
LNP1,False,True,False
ZNF157,False,True,False
FOXP4,False,True,False
PLOD1,False,True,False
RPN2,False,True,False
ETFDH,False,True,False
ZNF789,False,True,False
GRB10,False,True,False
SLC9A6,False,True,False
HEXA-AS1,False,True,False
MIR647,False,True,False
TRIM50,False,True,False
RNA5SP487,False,True,False
RNU7-176P,False,True,False
HSPA6,False,True,False
MIR4716,False,True,False
FBXL20,False,True,False
PF4,False,True,False
RNA5SP144,False,True,False
MIR938,False,True,False
CHORDC1,False,True,False
MIR591,False,True,False
CCDC9,False,True,False
SYP,False,True,False
BPIFB1,False,True,False
TTLL7,False,True,False
FAM114A2,False,True,False
RNA5S6,False,True,False
PDE8A,False,True,False
LINC00700,False,True,False
TRAPPC14,False,True,False
MIR2355,False,True,False
MIR29B2,False,True,False
EIF1AX-AS1,False,True,False
EZR-AS1,False,True,False
EBP,False,True,False
PRAMEF8,False,True,False
RN7SKP124,False,True,False
PDE6C,False,True,False
SPMAP2L,False,True,False
MAP3K6,False,True,False
ATP8B4,False,True,False
POU1F1,False,True,False
PHGDH,False,True,False
SYMPK,False,True,False
C5orf63,False,True,False
RPS27,False,True,False
NAT9,False,True,False
ANO3,False,True,False
SNORA74B,False,True,False
DDX59,False,True,False
ABCC5-AS1,False,True,False
RAB28,False,True,False
NCAPD2,False,True,False
COL9A3,False,True,False
CNTRL,False,True,False
PTPN2,False,True,False
DUSP13B,False,True,False
AAGAB,False,True,False
TMEM117,False,True,False
MRPL17,False,True,False
DAPL1,False,True,False
RN7SKP244,False,True,False
CHRNA6,False,True,False
KLHL28,False,True,False
TAS2R46,False,True,False
BDKRB2,False,True,False
ZNF568,False,True,False
MRPS10P1,False,True,False
PRSS37,False,True,False
RNA5SP307,False,True,False
SCARNA16,False,True,False
THAP9,False,True,False
QSOX1,False,True,False
HOXB-AS1,False,True,False
PMVK,False,True,False
PACRG,False,True,False
RHOT2,False,True,False
BAIAP2-DT,False,True,False
DMRTB1,False,True,False
PARS2,False,True,False
MAP3K7,False,True,False
LIPK,False,True,False
ARHGAP9,False,True,False
SHARPIN,False,True,False
DHRS7C,False,True,False
PLCD4,False,True,False
FHIP2B,False,True,False
GC,False,True,False
MIR1249,False,True,False
ADORA2A-AS1,False,True,False
RB1-DT,False,True,False
RSPH10B,False,True,False
JAKMIP3,False,True,False
TADA2A,False,True,False
FAM43A,False,True,False
DISC2,False,True,False
ANKRD52,False,True,False
BRI3,False,True,False
DCUN1D4,False,True,False
ANKRD24,False,True,False
ZNF614,False,True,False
FRG2C,False,True,False
KRT85,False,True,False
USP6,False,True,False
RN7SKP219,False,True,False
C10orf126,False,True,False
CSNK1D,False,True,False
GNAT2,False,True,False
KRTAP11-1,False,True,False
FRMPD1,False,True,False
ABHD17C,False,True,False
YIPF7,False,True,False
RAB15,False,True,False
WDR35,False,True,False
ZNF621,False,True,False
MAGEB1,False,True,False
STRADB,False,True,False
IL34,False,True,False
SVEP1,False,True,False
MIR4746,False,True,False
SUPT16H,False,True,False
PGAP1,False,True,False
MIR331,False,True,False
SNORD115-42,False,True,False
TRMT10A,False,True,False
SMARCA1,False,True,False
TTLL5,False,True,False
PHKB,False,True,False
ASH1L,False,True,False
ZNF587B,False,True,False
HSD17B7,False,True,False
RNA5SP231,False,True,False
SCGB1B2P,False,True,False
RNU7-11P,False,True,False
ALDH4A1,False,True,False
SLC16A11,False,True,False
BBS12,False,True,False
DDAH2,False,True,False
TMEM232,False,True,False
RNU7-49P,False,True,False
IL23R,False,True,False
ABCD4,False,True,False
CFHR2,False,True,False
RNU5F-7P,False,True,False
ZNF613,False,True,False
CRYZL1,False,True,False
TMEM63C,False,True,False
SCN11A,False,True,False
MIR619,False,True,False
PWP1,False,True,False
FAM187B,False,True,False
ZNF552,False,True,False
CLIC3,False,True,False
PLEKHB2,False,True,False
MIR32,False,True,False
NPY2R,False,True,False
PSMD8,False,True,False
MIR151B,False,True,False
RN7SKP264,False,True,False
SPRR2G,False,True,False
TEAD4,False,True,False
RPL15,False,True,False
AHRR,False,True,False
RN7SL178P,False,True,False
FKBP1B,False,True,False
CTXN2,False,True,False
RNF122,False,True,False
VMAC,False,True,False
RN7SKP94,False,True,False
DTX3,False,True,False
GUCY1B1,False,True,False
SLC6A19,False,True,False
RN7SL586P,False,True,False
MIR29B2CHG,False,True,False
LGALS9,False,True,False
CMC2,False,True,False
RAB3GAP2,False,True,False
PCDHA11,False,True,False
RNY3P3,False,True,False
NIBAN1,False,True,False
AHDC1,False,True,False
OR11H7,False,True,False
PTAR1,False,True,False
NRAD1,False,True,False
ADAM28,False,True,False
TSEN34,False,True,False
CLRN1,False,True,False
ADAP2,False,True,False
USP25,False,True,False
NCSTN,False,True,False
NDUFA12,False,True,False
TMEM132E-DT,False,True,False
ANO8,False,True,False
EVI2B,False,True,False
RN7SL120P,False,True,False
COL15A1,False,True,False
TANK,False,True,False
UCMA,False,True,False
RN7SL432P,False,True,False
APOA4,False,True,False
EXOSC2,False,True,False
DDX51,False,True,False
TSPAN13,False,True,False
DAD1,False,True,False
NLRP5,False,True,False
ANO4,False,True,False
CHMP6,False,True,False
CST3,False,True,False
HPN-AS1,False,True,False
NDP,False,True,False
ENPP5,False,True,False
PRKCI,False,True,False
PSMA3,False,True,False
CREB3,False,True,False
RRAGD,False,True,False
SLC5A1,False,True,False
ZNF541,False,True,False
TBX6,False,True,False
CCNA1,False,True,False
PRECSIT,False,True,False
MIR4754,False,True,False
IL4,False,True,False
RN7SL123P,False,True,False
FABP1,False,True,False
ACSM2A,False,True,False
SNAPIN,False,True,False
MAPK8IP1P2,True,False,False
CDK11A,False,True,False
GASK1A,False,True,False
BAD,False,True,False
SIPA1,False,True,False
CYB5R4,False,True,False
HEBP1,False,True,False
RNA5SP359,False,True,False
RN7SL801P,False,True,False
MIR3670-1,False,True,False
HOXA11-AS,False,True,False
SNORD100,False,True,False
PCDHB14,False,True,False
ERV3-1,False,True,False
UBXN2A,False,True,False
TMEM221,False,True,False
STMP1,False,True,False
CST6,False,True,False
AK3,False,True,False
PTGES3,False,True,False
MTHFR,False,True,False
SMTNL2,False,True,False
RN7SKP33,False,True,False
LINC02902,False,True,False
RNU7-186P,False,True,False
OR2T2,False,True,False
SMURF1,False,True,False
SMIM29,False,True,False
PPY,False,True,False
SNRNP27,False,True,False
CYB5A,False,True,False
CDRT4,False,True,False
PALMD,False,True,False
ERH,False,True,False
PLAAT5,False,True,False
ST6GAL1,False,True,False
SPDYE2,False,True,False
RNU7-200P,False,True,False
SLC41A1,False,True,False
CCHCR1,False,True,False
SCPEP1,False,True,False
RNA5SP104,False,True,False
SNORA79,False,True,False
HASPIN,False,True,False
LINC02869,False,True,False
LRAT,False,True,False
RPL26L1,False,True,False
TGFB3,False,True,False
TSPAN5,False,True,False
PRM1,False,True,False
OR8G5,False,True,False
ASAP1,False,True,False
SIAH2-AS1,False,True,False
SLC13A2,False,True,False
ZFX-AS1,False,True,False
DCD,False,True,False
FBXO46,False,True,False
PARP12,False,True,False
FLT3LG,False,True,False
NEBL,False,True,False
FAS,False,True,False
ATF5,False,True,False
RN7SKP261,False,True,False
NPAP1,False,True,False
RNU4-90P,False,True,False
ZNF148,False,True,False
FKBP15,False,True,False
SIRPB1,False,True,False
RNU7-19P,False,True,False
MYOT,False,True,False
VPS11,False,True,False
DENND5B,False,True,False
TRAF5,False,True,False
HMX3,False,True,False
SLC22A1,False,True,False
RHD,False,True,False
LAG3,False,True,False
MIR802,False,True,False
TSACC,False,True,False
WFDC10A,False,True,False
SCARA3,False,True,False
SLC7A3,False,True,False
RN7SKP144,False,True,False
RNA5SP324,False,True,False
RN7SKP126,False,True,False
SRPK1,False,True,False
CD81,False,True,False
MYH13,False,True,False
MAP3K8,False,True,False
OR2B11,False,True,False
RDH12,False,True,False
PRKG2,False,True,False
SLC5A4,False,True,False
ME2,False,True,False
MIR4540,False,True,False
AARS2,False,True,False
MIR19B1,False,True,False
FSCN1,False,True,False
SNX32,False,True,False
ZNF205,False,True,False
UCA1,False,True,False
PDZRN3,False,True,False
OR10H1,False,True,False
SLC17A6,False,True,False
GSDMB,False,True,False
PKM,False,True,False
GNG12,False,True,False
ULBP2,False,True,False
SNORD35B,False,True,False
COX3,True,False,False
MINPP1,False,True,False
ABTB2,False,True,False
RN7SL492P,False,True,False
MAPK4,False,True,False
CTSF,False,True,False
HLA-F-AS1,False,True,False
KRT80,False,True,False
SEMG1,False,True,False
CWC22,False,True,False
GAK,False,True,False
ADAMTS12,False,True,False
RAD1,False,True,False
S100A7A,False,True,False
CPED1,False,True,False
MBOAT4,False,True,False
CCDC170,False,True,False
EPS8L1,False,True,False
SLC25A32,False,True,False
UQCRC1,False,True,False
CALML3-AS1,False,True,False
SNORA15,False,True,False
DNAJC5B,False,True,False
C21orf91-OT1,False,True,False
KCNQ5,False,True,False
AQP9,False,True,False
LANCL1,False,True,False
TSTD3,False,True,False
TUBD1,False,True,False
GNLY,False,True,False
LAMC2,False,True,False
FAM217B,False,True,False
USP17L19,False,True,False
PRRC2B,False,True,False
GCLM,False,True,False
BSN-DT,False,True,False
MIR124-1,False,True,False
FABP9,False,True,False
RN7SL78P,False,True,False
RN7SKP214,False,True,False
RNU4-89P,False,True,False
DTD2,False,True,False
SNORD115-25,False,True,False
ATP2B4,False,True,False
DOCK11,False,True,False
HIBADH,False,True,False
LRRC8B,False,True,False
MIR3652,False,True,False
INSYN1,False,True,False
ATP1B4,False,True,False
UBL4B,False,True,False
AOC3,False,True,False
LINC02915,False,True,False
DNAJC9-AS1,False,True,False
HAVCR2,False,True,False
FOXI2,False,True,False
NACC2,False,True,False
CLC,False,True,False
XACT,False,True,False
INHBC,False,True,False
FCGR3A,False,True,False
DPY19L4,False,True,False
ZNF256,False,True,False
MIA3,False,True,False
LHFPL3,False,True,False
EHMT2,False,True,False
PRKDC,False,True,False
DEFA3,False,True,False
LINC00466,False,True,False
SMCR5,False,True,False
ENDOU,False,True,False
RN7SL244P,False,True,False
MIR188,False,True,False
RPP25L,False,True,False
ZSCAN12,False,True,False
MIR379,False,True,False
PDAP1,False,True,False
MYO5C,False,True,False
AMY2A,False,True,False
MARK1,False,True,False
RN7SL368P,False,True,False
MIR3156-2,False,True,False
SCEL-AS1,False,True,False
MIR4650-2,False,True,False
KRT2,False,True,False
FCRL2,False,True,False
RNA5SP392,False,True,False
PDXDC1,False,True,False
GRAMD4,False,True,False
RNA5SP181,False,True,False
TRIP4,False,True,False
SEC14L3,False,True,False
PNLIP,False,True,False
FAM72C,False,True,False
E2F2,False,True,False
OR4C16,False,True,False
ZNF215,False,True,False
WNT5B,False,True,False
CCDC14,False,True,False
PPP1R10,False,True,False
GLMN,False,True,False
NDUFB3,False,True,False
OR5M9,False,True,False
KAT6B,False,True,False
WDR41,False,True,False
ABLIM3,False,True,False
CALHM5,False,True,False
SOX21,False,True,False
RNU6ATAC27P,False,True,False
BOK-AS1,False,True,False
FAM224A,False,True,False
HAO2-IT1,False,True,False
ZNF883,False,True,False
HMGCR,False,True,False
DENND10,False,True,False
DEFB125,False,True,False
CD96,False,True,False
ZNF226,False,True,False
ATP6V1D,False,True,False
TMEM71,False,True,False
JAK2,False,True,False
EPG5,False,True,False
GSTM1,False,True,False
OR2Z1,False,True,False
ZC3H8,False,True,False
RN7SL488P,False,True,False
DYNLL1,False,True,False
TBCC,False,True,False
SNHG7,False,True,False
ARFGEF2,False,True,False
SLC44A3,False,True,False
SETD1A,False,True,False
RN7SL202P,False,True,False
CXCL16,False,True,False
HCG27,False,True,False
SPOCK1,False,True,False
ANAPC10,False,True,False
RN7SL371P,False,True,False
CITED4,False,True,False
ADRA1A,False,True,False
HSF2,False,True,False
RAD54L,False,True,False
CHRNE,False,True,False
TTC38,False,True,False
RN7SL513P,False,True,False
MPHOSPH9,False,True,False
NDUFS1,False,True,False
IPO9-AS1,False,True,False
RAB27B,False,True,False
CPVL,False,True,False
RN7SL741P,False,True,False
STARD3,False,True,False
CA13,False,True,False
RNU7-151P,False,True,False
DNAL1,False,True,False
IRX4,False,True,False
CYP2A6,False,True,False
DYNC1LI1,False,True,False
CCDC70,False,True,False
FAP,False,True,False
LINC00359,False,True,False
RN7SL727P,False,True,False
RSL1D1,False,True,False
PLXNB1,False,True,False
TMEM241,False,True,False
DSG1,False,True,False
CSNK1A1L,False,True,False
CLIC4,False,True,False
RUFY3,False,True,False
RN7SL148P,False,True,False
TACC2,False,True,False
GALNT10,False,True,False
MIR603,False,True,False
SLC25A34,False,True,False
KIF24,False,True,False
TCP1,False,True,False
TSPAN18,False,True,False
GPS2,False,True,False
RN7SKP34,False,True,False
DLGAP1-AS3,False,True,False
MPP2,False,True,False
RPL7A,False,True,False
APOBEC3A,False,True,False
RSAD2,False,True,False
ADRB2,False,True,False
SNORA21,False,True,False
RN7SKP26,False,True,False
ZNF326,False,True,False
ING5,False,True,False
INSRR,False,True,False
FUNDC1,False,True,False
S100A13,False,True,False
HSPB8,False,True,False
ROR1,False,True,False
ZNF280C,False,True,False
PTPRU,False,True,False
RN7SL683P,False,True,False
REEP2,False,True,False
MIR4321,False,True,False
COG6,False,True,False
MPG,False,True,False
RRBP1,False,True,False
RN7SKP255,False,True,False
RNU4-13P,False,True,False
TESK1,False,True,False
VIM-AS1,False,True,False
NAPA,False,True,False
TMCO5A,False,True,False
MMP12,False,True,False
KCNIP3,False,True,False
ZNF32-AS3,False,True,False
RN7SL19P,False,True,False
RAB8B,False,True,False
NFIX,False,True,False
MIR4473,False,True,False
VWC2,False,True,False
ARHGEF26,False,True,False
C4orf33,False,True,False
SURF6,False,True,False
RN7SL525P,False,True,False
EIF3E,False,True,False
YIPF6,False,True,False
IGF1,False,True,False
IL10RA,False,True,False
OR5K3,False,True,False
GPR52,False,True,False
BCL3,False,True,False
TRIM48,False,True,False
FGF11,False,True,False
GPC6-AS2,False,True,False
MIR497HG,False,True,False
GTF2H2,False,True,False
RFX6,False,True,False
RASGEF1A,False,True,False
HHATL,False,True,False
MARCHF9,False,True,False
UPK2,False,True,False
TBC1D15,False,True,False
TFIP11,False,True,False
SNORA48,False,True,False
RNA5SP455,False,True,False
DDRGK1,False,True,False
SERTAD4BP,False,True,False
RN7SL715P,False,True,False
SKOR2,False,True,False
OR11H2,False,True,False
NLRP9,False,True,False
SNORD101,False,True,False
TNIP1,False,True,False
RNA5SP266,False,True,False
TRAF3IP2,False,True,False
WDR44,False,True,False
MIR4263,False,True,False
ARMC2,False,True,False
POM121L7P,False,True,False
UIMC1,False,True,False
CASP9,False,True,False
CLDN14,False,True,False
RNASE8,False,True,False
CUL9,False,True,False
ZNF736,False,True,False
CNTNAP4,False,True,False
RIBC1,False,True,False
ORMDL1,False,True,False
RNU4-36P,False,True,False
EIF4G2,False,True,False
ACP1,False,True,False
PGAP4,False,True,False
ABCA8,False,True,False
MIR4788,False,True,False
ZNF775,False,True,False
SAFB2,False,True,False
SMIM1,False,True,False
S1PR2,False,True,False
RASSF10,False,True,False
UGT2B4,False,True,False
RNA5SP332,False,True,False
RN7SL254P,False,True,False
NEK9,False,True,False
PATL2,False,True,False
ISL2,False,True,False
DIAPH3,False,True,False
FMO3,False,True,False
PALM3,False,True,False
MYO15A,False,True,False
PIM1,False,True,False
RNU7-103P,False,True,False
RING1,False,True,False
PDZRN4,False,True,False
TAC1,False,True,False
SNTB2,False,True,False
TMEM14A,False,True,False
TRIQK,False,True,False
CASTOR2,False,True,False
ASB13,False,True,False
TBR1,False,True,False
DCHS2,False,True,False
GJA4,False,True,False
SP110,False,True,False
ABTB3,False,True,False
STX16-NPEPL1,False,True,False
HNF4G,False,True,False
TSSK1B,False,True,False
ATRAID,False,True,False
MRGPRX4,False,True,False
CENPB,False,True,False
TNNC1,False,True,False
ATP6V0A2,False,True,False
PPEF2,False,True,False
ZCWPW2,False,True,False
GH1,False,True,False
MIR4427,False,True,False
GABRR2,False,True,False
RCE1,False,True,False
FBXO38,False,True,False
NALCN-AS1,False,True,False
CSMD2,False,True,False
MEF2C,False,True,False
RN7SL67P,False,True,False
FSCB,False,True,False
ADAM20,False,True,False
HMOX1,False,True,False
KRTAP10-2,False,True,False
ZNF816,False,True,False
